18.01.01-12.23.01	0.0	21.35	21.65	5.26	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.03	0.0	21.34	21.65	5.14	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.05	0.0	21.34	21.64	5.12	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.07	0.0	21.34	21.64	4.96	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.09	0.0	21.35	21.64	5.25	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.11	0.0	21.35	21.64	5.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.13	0.0	21.35	21.64	5.10	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.15	0.0	21.34	21.64	5.06	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.17	0.0	21.35	21.64	5.00	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.19	0.0	21.34	21.64	4.88	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.21	0.0	21.35	21.64	4.82	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.23	0.0	21.35	21.64	4.27	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.25	0.0	21.36	21.64	4.13	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.27	0.0	21.35	21.64	4.06	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.29	0.0	21.35	21.64	3.97	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.31	0.0	21.35	21.64	3.86	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.33	0.0	21.36	21.64	3.79	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.35	0.0	21.35	21.64	3.66	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.37	0.0	21.35	21.64	3.58	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.39	0.0	21.36	21.64	3.51	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.41	0.0	21.35	21.64	3.38	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.43	0.0	21.36	21.64	3.30	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.45	0.0	21.36	21.64	3.24	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.47	0.0	21.36	21.64	3.08	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.49	0.0	21.37	21.64	3.02	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.51	0.0	21.36	21.64	2.95	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.53	0.0	21.37	21.64	2.87	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.55	0.0	21.38	21.64	2.80	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.57	0.0	21.37	21.64	2.64	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.23.59	0.0	21.37	21.64	2.52	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.01	0.0	21.38	21.64	2.45	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.03	0.0	21.37	21.64	2.39	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.05	0.0	21.37	21.64	2.26	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.07	0.0	21.38	21.63	2.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.09	0.0	21.38	21.64	2.13	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.11	0.0	21.38	21.64	2.07	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.13	0.0	21.38	21.63	1.94	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.15	0.0	21.38	21.63	1.87	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.17	0.0	21.38	21.63	1.82	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.19	0.0	21.39	21.63	1.70	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.21	0.0	21.39	21.63	1.64	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.23	0.0	21.39	21.63	1.55	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.25	0.0	21.39	21.63	1.47	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.27	0.0	21.39	21.63	1.41	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.29	0.0	21.38	21.63	1.29	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.31	0.0	21.37	21.63	1.22	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.33	0.0	21.37	21.63	1.16	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.35	0.0	21.36	21.63	1.04	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.37	0.0	21.35	21.63	0.98	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.39	0.0	21.35	21.63	0.92	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.41	0.0	21.34	21.63	0.81	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.43	0.0	21.33	21.63	0.75	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.45	0.0	21.32	21.63	0.68	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.47	0.0	21.32	21.63	0.57	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.49	0.0	21.30	21.63	0.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.51	0.0	21.30	21.63	0.40	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.53	0.0	21.28	21.63	0.33	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.55	0.0	21.27	21.63	0.27	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.57	0.0	21.26	21.63	0.15	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.24.59	0.0	21.25	21.63	0.10	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.01	0.0	21.25	21.63	0.04	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.03	0.0	21.23	21.63	655.29	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.05	0.0	21.22	21.63	655.27	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.07	0.0	21.22	21.63	655.24	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.09	0.0	21.21	21.63	655.22	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.11	0.0	21.19	21.63	655.22	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.13	0.0	21.16	21.63	655.22	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.15	0.0	21.13	21.63	655.20	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.17	0.0	21.10	21.63	655.20	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.19	0.0	21.09	21.63	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.21	0.0	21.05	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.23	0.0	21.03	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.25	0.0	21.01	21.63	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.27	0.0	20.98	21.63	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.29	0.0	20.96	21.63	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.31	0.0	20.95	21.63	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.33	0.0	20.92	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.35	0.0	20.91	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.37	0.0	20.89	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.39	0.0	20.86	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.41	0.0	20.84	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.43	0.0	20.83	21.63	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.25.45	0.0	20.80	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.47	0.0	20.80	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.49	0.0	20.78	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.51	0.0	20.77	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.53	0.0	20.77	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.55	0.0	20.77	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.57	0.0	20.75	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.25.59	0.0	20.74	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.01	0.0	20.74	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.03	0.0	20.72	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.05	0.0	20.71	21.62	655.17	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.07	0.0	20.69	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.09	0.0	20.69	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.11	0.0	20.66	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.13	0.0	20.64	21.62	655.15	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.15	0.0	20.64	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.17	0.0	20.63	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.19	0.0	20.61	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.21	0.0	20.60	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.23	0.0	20.55	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.25	0.0	20.51	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.27	0.0	20.48	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.29	0.0	20.45	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.31	0.0	20.45	21.62	655.19	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.33	0.0	20.43	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.35	0.0	20.41	21.62	655.18	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.37	0.0	20.46	21.62	655.32	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.39	0.0	20.78	21.62	1.35	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.41	0.0	20.97	21.62	4.94	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.43	0.0	21.06	21.62	5.36	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.45	0.0	21.12	21.62	5.47	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.47	0.0	21.16	21.62	5.48	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.49	0.0	21.18	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.51	0.0	21.20	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.53	0.0	21.21	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.55	0.0	21.22	21.62	5.48	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.26.57	0.0	21.23	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.26.59	0.0	21.23	21.62	5.48	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.01	0.0	21.25	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.03	0.0	21.26	21.62	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.05	0.0	21.24	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.07	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.09	0.0	21.24	21.61	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.11	0.0	21.24	21.61	5.49	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.13	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.15	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.17	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.19	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.21	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.23	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.25	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.27	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.29	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.31	0.0	21.24	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.33	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.35	0.0	21.24	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.37	0.0	21.26	21.66	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.39	0.0	21.26	21.65	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.41	0.0	21.26	21.65	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.43	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.45	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.27.47	0.0	21.24	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.49	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.01	0.05		0.0	0.0
18.01.01-12.27.51	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.53	0.0	21.25	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.27.55	0.0	21.26	21.61	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.04		0.0	0.0
18.01.01-12.27.57	0.0	21.26	21.60	5.50	12.09	295.6	0.11	0.01	21.33	0.00	0.02		0.0	0.0
18.01.01-12.27.59	0.0	21.26	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.01	0.0	21.26	21.61	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.04		0.0	0.0
18.01.01-12.28.03	0.0	21.26	21.61	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.04		0.0	0.0
18.01.01-12.28.05	0.0	21.27	21.61	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.28.07	0.0	21.26	21.61	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.09	0.0	21.26	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.02	0.06		0.0	0.0
18.01.01-12.28.11	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.02	0.06		0.0	0.0
18.01.01-12.28.13	0.0	21.26	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.15	0.0	21.26	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.01		0.0	0.0
18.01.01-12.28.17	0.0	21.26	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.01	0.05		0.0	0.0
18.01.01-12.28.19	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.21	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.01	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.23	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.01	0.05		0.0	0.0
18.01.01-12.28.25	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.01	0.05		0.0	0.0
18.01.01-12.28.27	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.29	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.31	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.04	0.08		0.0	0.0
18.01.01-12.28.33	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.02	0.06		0.0	0.0
18.01.01-12.28.35	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.01		0.0	0.0
18.01.01-12.28.37	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.39	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.01	0.06		0.0	0.0
18.01.01-12.28.41	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.02	0.05		0.0	0.0
18.01.01-12.28.43	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.03		0.0	0.0
18.01.01-12.28.45	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.47	0.0	21.27	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.49	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.03	0.07		0.0	0.0
18.01.01-12.28.51	0.0	21.28	21.60	5.51	12.09	295.6	0.11	0.00	21.33	0.02	0.06		0.0	0.0
18.01.01-12.28.53	0.0	21.29	21.60	5.51	12.09	295.6	0.10	0.00	21.33	0.00	0.00		0.0	0.0
18.01.01-12.28.55	0.0	21.28	21.60	5.51	12.09	295.6	0.10	0.00	21.33	0.00	0.00		0.0	0.0
